,愉悦,悲伤,愤怒,惊讶,厌恶,蔑视,恐惧,害羞,绝望,愧疚
圆满,1.5,0,0,0,0,0,0,0,0,0
期待,0.7,0,0,0,0,0,0,0.5,0,0
向往,0.8,0,0,0,0,0,0,0.4,0,0
悲观,0,0.8,0,0,0,0,0,0,0.6,0
沮丧,0,0.9,0,0.1,0,0,0,0,0.5,0
失落感,0,0.8,0,0,0,0,0,0,0.6,0
无望,0,0.9,0,0,0,0,0,0,0.9,0
心寒,0,0.8,0,0,0,0,0,0,1,0
孤单,0,0.7,0,0,0,0,0.8,0,0.4,0
孤立,0,0.9,0,0,0,0,0.07,0,0.03,0
寂寞,0,0.95,0,0,0,0,0.05,0,0,0
乐观,1,0,0,0,0,0,0,0,0,0
烦躁,0,0.3,0.1,0,0.6,0,0.3,0.05,0.05,0.1
惊喜,1,0,0,1,0,0,0,0,0,0
苦闷,0,0.3,0,0,0,0,0.3,0,0,0.4
苦恼,0,0.5,0,0,0.05,0,0.3,0,0.1,0.5
受宠若惊,0.7,0,0,1,0,0,0,0.7,0,0
欣慰,0.97,0.03,0,0.3,0,0,0,0,0,0.3
羞怯,0.3,0,0,0,0,0,0,1,0,0
忧伤,0,1,0,0,0,0,0.05,0,0,0.1
安宁,1,0,0,0,0,0,0,0,0,0
安然,0.5,0,0,0,0.5,0,0,0,0,0
安详,0.5,0,0,0,0,0,0,0,0,0
安心,0.8,0,0,0,0,0,0,0,0,0
安慰,0.3,0,0,0,0,0,0,0,0,0
淡漠,0,0.6,0,0,1,0.8,0,0.3,0,0
淡然,0.4,0,0,0,0.05,0.3,0.1,0,0.4,0
放心,0.5,0.3,0,0,0,0,0,0,0,0
冷静,0.2,0.4,0.3,0,0,0,0,0.1,0,0
漠然,0,0.5,0.2,0,0.3,0,0,0,0,0
漠视,0,0.3,0,0,0.1,0.6,0,0,0,0
宁静,0.3,0,0.35,0,0,0,0.05,0.3,0,0
轻松,0.8,0,0,0,0,0,0,0,0,0
塌实,0.6,0,0,0,0,0,0,0,0,0
踏实,0.6,0,0,0,0,0.1,0,0,0,0
坦然,0.3,0,0,0,0,0,0,0,0.7,0
心安理得,0.9,0,0,0,0,0.1,0,0,0,0
心静,0.5,0,0.1,0,0,0,0,0,0.2,0
心平气和,0.9,0,0.3,0,0,0,0,0,0,0
镇定,0.5,0,0,0,0,0,0,0.5,0,0
镇静,0.1,0,0,0,0,0,0.8,0.1,0.05,0
昂扬,0.7,0,0,0,0,0.3,0,0,0,0
冲动,0,0,0.75,0,0,0,0.05,0,0.15,0
鼓舞,0.6,0.1,0,0,0,0,0,0,0.3,0
激动,0.65,0,0.3,0.05,0,0,0,0,0,0
紧张,0.3,0,0,0.1,0,0,0.8,0.6,0,0
兴奋,1.3,0,0,0,0,0,0,0,0,0
振奋,0.7,0.3,0,0,0,0,0,0,0,0.1
振作,0.5,0.4,0,0,0,0,0,0,0.1,0
低沉,0,1,0,0,0,0,0,0,0,0.5
消沉,0,1,0,0,0,0,0,0,0.1,0.4
心灰意懒,0,0.5,0,0.2,0,0,0,0,0,0.3
心灰意冷,0,1,0,0.2,0,0,0,0,1,0
沉甸甸,0.8,0,0,0,0,0,0,0,0,0
放松,0.8,0,0,0,0,0,0.2,0.2,0,0.05
解气,1,0,0,0,0,0,0,0,0,0
恼羞成怒,0,0,1.5,0,0.2,0,0,0,0,0
气馁,0,1,0,0,0,0,0,0,0.1,0.3
丧气,0,1,0.3,0,0,0,0.1,0,0.5,0.2
扫兴,0,0.8,0.6,0,1,0,0,0,0,0
扬眉吐气,1,0,0,0,0,0.1,0,0,0,0
消气,0.8,0,0.2,0,0,0,0,0,0,0.05
厌倦,0,0.8,0,0,1,0,0,0,0,0
欢畅,1,0,0,0,0,0,0,0,0,0
欢快,1,0,0,0,0,0,0,0,0,0
欢喜,1,0,0,0,0,0,0,0,0,0
豁朗,0.9,0,0,0.1,0,0,0,0,0,0
可喜,0.95,0.05,0,0,0,0,0,0,0,0
快意,1,0,0,0,0,0,0,0,0,0
宽畅,0.97,0,0,0,0,0,0.03,0,0,0
狂喜,2,0,0,0,0,0,0,0,0,0
舒心,1,0,0,0,0,0,0,0,0,0
怡然,1,0,0,0,0,0,0,0,0,0
愤激,0,0,0.9,0,0.1,0,0,0,0,0
恼怒,0,0,1.3,0,0,0,0,0,0,0
激愤,0,0,1,0.3,0,0,0,0,0,0
气恼,0,0,1,0,0,0,0,0,0,0.1
盛怒,0,0,2,0,0,0,0,0,0,0
震怒,0,0,1,0.8,0,0,0,0,0,0
悲苦,0,1,1,0,0,0,0,0,0.3,0
悲酸,0,1,0,0,0.3,0,0,0,0.3,0
悲辛,0,1,0,0,0.2,0,0,0,0.3,0
哀伤,0,1,0,0,0,0,0.1,0,0.3,0.05
哀戚,0,1,0,0,0,0,0.1,0,0.3,0
哀痛,0,1.5,0,0,0,0,0,0,0.3,0
悲怆,0,1,0,0,0,0,0,0,0.4,0
惨苦,0,1,0,0,0,0,0.1,0,0.2,0
苦涩,0,0.95,0,0,0,0,0,0,0.05,0
凄惨,0,0.8,0,0,0,0,0,0,0,0
伤神,0,0.5,0,0,0,0,0,0,0,0
酸楚,0,0.3,0,0,0,0,0,0,0,0
痛心疾首,0,0.7,0,0,0,0,0,0,0,0
辛酸,0,0.4,0,0,0,0,0,0,0,0
诚惶诚恐,0,0,0,0,0,0,1,0,0,0
惶惶,0,0,0,0,0,0,0.7,0,0,0
惶惑,0,0,0,0,0,0,0,0,0,0
惊恐,0,0,0,0.5,0,0,0.5,0,0,0
惧怕,0,0,0,0,0,0,1,0,0,0
畏惧,0,0,0,0,0,0,1,0,0,0
